farm,cycle,cage,date_operational,temperature,temp_qualy
farm 42,cycle 679,cage 3778,2019-08-08,NA,FALSE
farm 42,cycle 679,cage 3778,2019-08-09,NA,FALSE
farm 42,cycle 679,cage 3778,2019-08-10,NA,FALSE
farm 42,cycle 679,cage 3778,2019-08-11,NA,FALSE
farm 42,cycle 679,cage 3778,2019-08-12,NA,FALSE
farm 42,cycle 679,cage 3778,2019-08-13,NA,FALSE
farm 42,cycle 679,cage 3778,2019-08-14,NA,FALSE
farm 42,cycle 679,cage 3778,2019-08-15,NA,FALSE
farm 42,cycle 679,cage 3778,2019-08-16,NA,FALSE
farm 42,cycle 679,cage 3778,2019-08-17,NA,FALSE
farm 42,cycle 679,cage 3778,2019-08-18,NA,FALSE
farm 42,cycle 679,cage 3778,2019-08-19,NA,FALSE
farm 42,cycle 679,cage 3778,2019-08-20,NA,FALSE
farm 42,cycle 679,cage 3778,2019-08-21,NA,FALSE
farm 42,cycle 679,cage 3778,2019-08-22,NA,FALSE
farm 42,cycle 679,cage 3778,2019-08-23,NA,FALSE
farm 42,cycle 679,cage 3778,2019-08-24,NA,FALSE
farm 42,cycle 679,cage 3778,2019-08-25,NA,FALSE
farm 42,cycle 679,cage 3778,2019-08-26,NA,FALSE
farm 42,cycle 679,cage 3778,2019-08-27,NA,FALSE
farm 42,cycle 679,cage 3778,2019-08-28,NA,FALSE
farm 42,cycle 679,cage 3778,2019-08-29,NA,FALSE
farm 42,cycle 679,cage 3778,2019-08-30,NA,FALSE
farm 42,cycle 679,cage 3778,2019-08-31,NA,FALSE
farm 42,cycle 679,cage 3778,2019-09-01,NA,FALSE
farm 42,cycle 679,cage 3778,2019-09-02,NA,FALSE
farm 42,cycle 679,cage 3778,2019-09-03,NA,FALSE
farm 42,cycle 679,cage 3778,2019-09-04,NA,FALSE
farm 42,cycle 679,cage 3778,2019-09-05,NA,FALSE
farm 42,cycle 679,cage 3778,2019-09-06,NA,FALSE
farm 42,cycle 679,cage 3778,2019-09-07,NA,FALSE
farm 42,cycle 679,cage 3778,2019-09-08,NA,FALSE
farm 42,cycle 679,cage 3778,2019-09-09,NA,FALSE
farm 42,cycle 679,cage 3778,2019-09-10,NA,FALSE
farm 42,cycle 679,cage 3778,2019-09-11,NA,FALSE
farm 42,cycle 679,cage 3778,2019-09-12,NA,FALSE
